Equipment,Order_ID,Step,Estimated_Time,Real_Time,Result,Type,Technician,Month
Equipment_1,Order_1_7,Final Acceptance Test,27,21.63,Pass,Motion Sensor,Cody,September
Equipment_1,Order_1_7,Preparation,28,31.98,Pass,Motion Sensor,Amanda,September
Equipment_1,Order_1_7,Calibration,11,10.58,Pass,Motion Sensor,Connie,September
Equipment_1,Order_1_8,Final Acceptance Test,20,20.4,Pass,Motion Sensor,Andrew,October
Equipment_1,Order_1_8,Lacquering,21,24.98,Pass,Motion Sensor,Laura,October
Equipment_1,Order_1_8,Preparation,14,14.78,Pass,Motion Sensor,Brady,October
Equipment_1,Order_1_8,Electrical Test,20,24.03,Pass,Motion Sensor,Kayla,October
Equipment_1,Order_1_8,Component Placement,23,29.78,Pass,Motion Sensor,Alexandra,October
Equipment_1,Order_1_8,Packaging,6,6.84,Pass,Motion Sensor,Todd,October
Equipment_1,Order_1_9,General Soldering,15,15.9,Pass,Motion Sensor,Karen,November
Equipment_1,Order_1_9,Lacquering,24,21.11,Pass,Motion Sensor,Haley,November
Equipment_1,Order_1_9,Preparation,26,23.36,Pass,Motion Sensor,Timothy,November
Equipment_1,Order_1_9,Final Acceptance Test,29,34.87,Pass,Motion Sensor,Veronica,November
Equipment_1,Order_1_9,Calibration,13,12.05,Pass,Motion Sensor,Dustin,November
Equipment_1,Order_1_9,Functional Test,15,14.58,Pass,Motion Sensor,Jimmy,November
Equipment_1,Order_1_10,Final Acceptance Test,17,17.24,Pass,Motion Sensor,Brandon,December
Equipment_1,Order_1_10,Component Placement,5,5.22,Pass,Motion Sensor,Heather,December
Equipment_1,Order_1_10,Electrical Test,10,11.35,Pass,Motion Sensor,Erin,December
Equipment_1,Order_1_10,General Soldering,15,17.51,Pass,Motion Sensor,Anita,December
Equipment_1,Order_1_10,Lacquering,16,15.64,Fail,Motion Sensor,Julia,December
Equipment_1,Order_1_10,Preparation,26,23.46,Pass,Motion Sensor,Joanne,December
Equipment_1,Order_1_10,Functional Test,19,16.51,Pass,Motion Sensor,James,December
Equipment_1,Order_1_10,Packaging,22,24.86,Pass,Motion Sensor,Heather,December
Equipment_1,Order_1_10,Calibration,16,17.38,Pass,Motion Sensor,Emily,December
Equipment_1,Order_1_11,Preparation,15,16.7,Pass,Motion Sensor,Shannon,January
Equipment_1,Order_1_11,Lacquering,18,14.91,Pass,Motion Sensor,Stephen,January
Equipment_1,Order_1_11,Component Placement,13,15.1,Pass,Motion Sensor,Kyle,January
Equipment_1,Order_1_11,Packaging,21,23.68,Pass,Motion Sensor,Zachary,January
Equipment_1,Order_1_11,Final Acceptance Test,10,9.21,Pass,Motion Sensor,John,January
Equipment_1,Order_1_11,Functional Test,19,19.78,Pass,Motion Sensor,Robert,January
Equipment_1,Order_1_12,Final Acceptance Test,5,5.34,Pass,Motion Sensor,Tina,February
Equipment_1,Order_1_12,Functional Test,27,30.24,Fail,Motion Sensor,Kristin,February
Equipment_1,Order_1_12,General Soldering,10,8.54,Pass,Motion Sensor,Rickey,February
Equipment_1,Order_1_12,Electrical Test,12,11.78,Pass,Motion Sensor,Robert,February
Equipment_1,Order_1_12,Packaging,29,23.39,Pass,Motion Sensor,John,February
Equipment_1,Order_1_12,Calibration,27,24.31,Pass,Motion Sensor,Anna,February
Equipment_1,Order_1_12,Lacquering,30,25.69,Pass,Motion Sensor,Molly,February
Equipment_1,Order_1_12,Preparation,30,37.35,Fail,Motion Sensor,Julie,February
Equipment_1,Order_1_12,Component Placement,22,19.55,Pass,Motion Sensor,Angela,February
Equipment_1,Order_1_13,Electrical Test,20,25.31,Fail,Motion Sensor,Madison,March
Equipment_1,Order_1_13,Functional Test,11,10.94,Pass,Motion Sensor,Jack,March
Equipment_1,Order_1_13,Packaging,8,7.0,Pass,Motion Sensor,Rita,March
Equipment_1,Order_1_13,Final Acceptance Test,9,10.39,Fail,Motion Sensor,Adam,March
Equipment_1,Order_1_13,Lacquering,10,10.23,Pass,Motion Sensor,Scott,March
Equipment_1,Order_1_13,Component Placement,29,34.28,Pass,Motion Sensor,Erin,March
Equipment_1,Order_1_13,Preparation,6,7.26,Pass,Motion Sensor,Megan,March
Equipment_1,Order_1_13,Calibration,17,18.93,Pass,Motion Sensor,Shannon,March
Equipment_1,Order_1_13,General Soldering,9,9.23,Pass,Motion Sensor,Luis,March
Equipment_1,Order_1_14,Component Placement,19,23.25,Pass,Motion Sensor,Stephanie,April
Equipment_1,Order_1_14,Lacquering,20,22.22,Pass,Motion Sensor,Molly,April
Equipment_1,Order_1_14,General Soldering,14,15.15,Pass,Motion Sensor,Nichole,April
Equipment_1,Order_1_14,Electrical Test,23,18.59,Pass,Motion Sensor,Kyle,April
Equipment_1,Order_1_14,Final Acceptance Test,25,31.11,Pass,Motion Sensor,Theresa,April
Equipment_1,Order_1_15,Electrical Test,12,10.32,Pass,Motion Sensor,Yvonne,May
Equipment_1,Order_1_15,Final Acceptance Test,29,24.4,Fail,Motion Sensor,Robert,May
Equipment_1,Order_1_15,Lacquering,10,9.32,Pass,Motion Sensor,Matthew,May
Equipment_1,Order_1_15,Calibration,15,14.5,Pass,Motion Sensor,Virginia,May
Equipment_1,Order_1_15,Packaging,6,6.48,Pass,Motion Sensor,Michael,May
Equipment_1,Order_1_16,Calibration,10,10.22,Fail,Motion Sensor,Robert,June
Equipment_1,Order_1_16,Component Placement,23,24.56,Pass,Motion Sensor,Michelle,June
Equipment_1,Order_1_16,General Soldering,29,34.56,Pass,Motion Sensor,Andrea,June
Equipment_1,Order_1_16,Preparation,11,12.32,Pass,Motion Sensor,Javier,June
Equipment_1,Order_1_16,Electrical Test,27,34.7,Pass,Motion Sensor,April,June
Equipment_1,Order_1_16,Lacquering,23,20.47,Pass,Motion Sensor,Mark,June
Equipment_1,Order_1_16,Packaging,25,21.73,Fail,Motion Sensor,William,June
Equipment_1,Order_1_16,Final Acceptance Test,14,12.45,Pass,Motion Sensor,Tamara,June
Equipment_1,Order_1_16,Functional Test,5,6.42,Pass,Motion Sensor,Logan,June
Equipment_1,Order_1_17,Final Acceptance Test,15,17.7,Pass,Motion Sensor,William,July
Equipment_1,Order_1_17,Component Placement,17,17.84,Pass,Motion Sensor,Steven,July
Equipment_1,Order_1_17,Calibration,6,7.47,Pass,Motion Sensor,Todd,July
Equipment_1,Order_1_17,Packaging,27,29.7,Fail,Motion Sensor,Natalie,July
Equipment_1,Order_1_17,General Soldering,26,30.08,Pass,Motion Sensor,Daniel,July
Equipment_1,Order_1_17,Preparation,27,25.33,Pass,Motion Sensor,Sheila,July
Equipment_1,Order_1_17,Lacquering,7,8.68,Pass,Motion Sensor,Joseph,July
Equipment_1,Order_1_18,Component Placement,13,14.22,Pass,Motion Sensor,Laura,August
Equipment_1,Order_1_18,Packaging,8,8.2,Fail,Motion Sensor,Donna,August
Equipment_1,Order_1_18,Calibration,9,10.59,Pass,Motion Sensor,Sharon,August
Equipment_1,Order_1_18,Lacquering,10,12.35,Pass,Motion Sensor,Kevin,August
Equipment_1,Order_1_18,Electrical Test,12,10.71,Pass,Motion Sensor,Logan,August
Equipment_1,Order_1_18,Functional Test,28,36.2,Pass,Motion Sensor,Jamie,August
Equipment_1,Order_1_18,Preparation,30,26.68,Pass,Motion Sensor,Debra,August
Equipment_1,Order_1_19,Electrical Test,16,18.54,Pass,Motion Sensor,Jill,September
Equipment_1,Order_1_19,Functional Test,21,23.38,Fail,Motion Sensor,Anna,September
Equipment_1,Order_1_19,Lacquering,30,28.88,Pass,Motion Sensor,Edward,September
Equipment_1,Order_1_19,Preparation,30,29.23,Pass,Motion Sensor,Cristian,September
Equipment_1,Order_1_19,General Soldering,12,13.59,Pass,Motion Sensor,Michael,September
Equipment_1,Order_1_19,Packaging,13,15.7,Pass,Motion Sensor,Tracy,September
Equipment_1,Order_1_19,Calibration,23,20.9,Pass,Motion Sensor,Michael,September
Equipment_1,Order_1_19,Final Acceptance Test,8,10.1,Pass,Motion Sensor,Elizabeth,September
Equipment_1,Order_1_20,Lacquering,7,6.4,Fail,Motion Sensor,Michael,October
Equipment_1,Order_1_20,Functional Test,14,16.08,Pass,Motion Sensor,Nicholas,October
Equipment_1,Order_1_20,Component Placement,13,15.68,Pass,Motion Sensor,Alan,October
Equipment_1,Order_1_20,Preparation,14,15.26,Pass,Motion Sensor,Monica,October
Equipment_1,Order_1_20,Electrical Test,16,18.6,Pass,Motion Sensor,Madeline,October
Equipment_1,Order_1_21,Preparation,21,26.31,Pass,Motion Sensor,Nichole,November
Equipment_1,Order_1_21,Functional Test,15,15.13,Pass,Motion Sensor,Joseph,November
Equipment_1,Order_1_21,Component Placement,5,6.08,Pass,Motion Sensor,Michael,November
Equipment_1,Order_1_21,Lacquering,9,9.85,Pass,Motion Sensor,Manuel,November
Equipment_1,Order_1_21,Packaging,6,6.86,Pass,Motion Sensor,Cynthia,November
Equipment_1,Order_1_21,Calibration,12,9.76,Pass,Motion Sensor,Kimberly,November
Equipment_1,Order_1_21,General Soldering,22,25.14,Pass,Motion Sensor,Diana,November
Equipment_1,Order_1_21,Final Acceptance Test,6,6.53,Pass,Motion Sensor,Wendy,November
Equipment_1,Order_1_22,Calibration,20,16.28,Pass,Motion Sensor,Tyler,December
Equipment_1,Order_1_22,Final Acceptance Test,20,24.84,Pass,Motion Sensor,Nicole,December
Equipment_1,Order_1_22,Packaging,20,19.94,Fail,Motion Sensor,Brian,December
Equipment_1,Order_1_22,Lacquering,29,32.21,Pass,Motion Sensor,Andrea,December
Equipment_1,Order_1_22,Preparation,15,18.74,Pass,Motion Sensor,Ashley,December
Equipment_1,Order_1_22,Functional Test,12,14.33,Pass,Motion Sensor,James,December
Equipment_1,Order_1_22,Component Placement,14,14.22,Pass,Motion Sensor,Jeremy,December
Equipment_1,Order_1_23,Component Placement,18,20.13,Pass,Motion Sensor,Courtney,January
Equipment_1,Order_1_23,Calibration,28,25.34,Pass,Motion Sensor,Stephanie,January
Equipment_1,Order_1_23,Lacquering,5,6.06,Pass,Motion Sensor,Audrey,January
Equipment_1,Order_1_23,Final Acceptance Test,23,27.01,Pass,Motion Sensor,Aaron,January
Equipment_1,Order_1_23,Preparation,20,21.29,Pass,Motion Sensor,Jeffrey,January
Equipment_1,Order_1_24,Preparation,19,18.8,Pass,Motion Sensor,Amanda,February
Equipment_1,Order_1_24,Packaging,19,15.63,Pass,Motion Sensor,Michelle,February
Equipment_1,Order_1_24,Electrical Test,22,23.97,Pass,Motion Sensor,Zachary,February
Equipment_1,Order_1_24,Lacquering,23,18.99,Pass,Motion Sensor,Christine,February
Equipment_1,Order_1_24,General Soldering,27,27.56,Pass,Motion Sensor,Corey,February
Equipment_1,Order_1_24,Final Acceptance Test,14,17.23,Pass,Motion Sensor,Patricia,February
Equipment_1,Order_1_24,Calibration,14,13.85,Pass,Motion Sensor,Christina,February
Equipment_1,Order_1_24,Functional Test,29,29.38,Pass,Motion Sensor,Brandon,February
Equipment_1,Order_1_24,Component Placement,10,11.86,Pass,Motion Sensor,Zachary,February
Equipment_1,Order_1_25,Preparation,21,22.4,Pass,Motion Sensor,Lisa,March
Equipment_1,Order_1_25,Lacquering,25,29.77,Pass,Motion Sensor,Barbara,March
Equipment_1,Order_1_25,Final Acceptance Test,25,28.62,Pass,Motion Sensor,Peggy,March
Equipment_1,Order_1_25,General Soldering,26,30.29,Pass,Motion Sensor,Sandra,March
Equipment_1,Order_1_25,Functional Test,22,24.75,Pass,Motion Sensor,Karen,March
Equipment_1,Order_1_25,Calibration,9,11.42,Pass,Motion Sensor,Joshua,March
Equipment_1,Order_1_25,Component Placement,10,12.96,Pass,Motion Sensor,Russell,March
Equipment_1,Order_1_26,Final Acceptance Test,27,32.16,Pass,Motion Sensor,Dalton,April
Equipment_1,Order_1_26,Functional Test,7,7.64,Pass,Motion Sensor,Kimberly,April
Equipment_1,Order_1_26,General Soldering,14,14.4,Pass,Motion Sensor,Billy,April
Equipment_1,Order_1_26,Electrical Test,14,15.63,Fail,Motion Sensor,Kevin,April
Equipment_1,Order_1_26,Component Placement,19,22.51,Pass,Motion Sensor,Michelle,April
Equipment_1,Order_1_26,Calibration,28,22.6,Pass,Motion Sensor,Joseph,April
Equipment_1,Order_1_27,Electrical Test,17,16.35,Pass,Motion Sensor,Angela,May
Equipment_1,Order_1_27,Packaging,24,27.58,Pass,Motion Sensor,Erika,May
Equipment_1,Order_1_27,Preparation,28,31.6,Pass,Motion Sensor,Mary,May
Equipment_1,Order_1_27,General Soldering,25,23.92,Pass,Motion Sensor,Erin,May
Equipment_1,Order_1_27,Calibration,14,12.13,Pass,Motion Sensor,Kelli,May
Equipment_1,Order_1_27,Lacquering,26,31.14,Fail,Motion Sensor,Rodney,May
Equipment_1,Order_1_28,Component Placement,17,15.43,Pass,Motion Sensor,Teresa,June
Equipment_1,Order_1_28,Functional Test,21,17.8,Pass,Motion Sensor,James,June
Equipment_1,Order_1_28,Lacquering,29,27.99,Pass,Motion Sensor,Jacqueline,June
Equipment_1,Order_1_28,Packaging,22,19.76,Fail,Motion Sensor,Jordan,June
Equipment_1,Order_1_28,Preparation,20,22.8,Pass,Motion Sensor,James,June
Equipment_1,Order_1_28,General Soldering,22,26.96,Fail,Motion Sensor,Adam,June
Equipment_1,Order_1_28,Final Acceptance Test,7,8.73,Pass,Motion Sensor,Matthew,June
Equipment_1,Order_1_28,Electrical Test,15,16.19,Pass,Motion Sensor,Michael,June
Equipment_1,Order_1_28,Calibration,19,19.88,Pass,Motion Sensor,Jeanne,June
Equipment_1,Order_1_29,Calibration,26,22.6,Pass,Motion Sensor,Wayne,July
Equipment_1,Order_1_29,Preparation,13,11.78,Pass,Motion Sensor,Robert,July
Equipment_1,Order_1_29,Lacquering,9,8.54,Pass,Motion Sensor,Kevin,July
Equipment_1,Order_1_29,Functional Test,21,24.2,Pass,Motion Sensor,Christopher,July
Equipment_1,Order_1_29,Packaging,10,8.37,Pass,Motion Sensor,Kathryn,July
Equipment_1,Order_1_29,General Soldering,20,21.31,Fail,Motion Sensor,Michaela,July
Equipment_1,Order_1_30,Electrical Test,13,11.19,Pass,Motion Sensor,Teresa,August
Equipment_1,Order_1_30,Packaging,18,14.9,Pass,Motion Sensor,William,August
Equipment_1,Order_1_30,Calibration,8,8.53,Pass,Motion Sensor,Lauren,August
Equipment_1,Order_1_30,Final Acceptance Test,11,11.12,Pass,Motion Sensor,Ronald,August
Equipment_1,Order_1_30,Preparation,13,15.1,Pass,Motion Sensor,Kelly,August
Equipment_1,Order_1_30,Functional Test,20,25.65,Pass,Motion Sensor,Tyler,August
Equipment_1,Order_1_30,Lacquering,12,12.64,Pass,Motion Sensor,Mary,August
Equipment_1,Order_1_30,General Soldering,30,29.37,Pass,Motion Sensor,Robin,August
Equipment_1,Order_1_31,Component Placement,27,31.28,Pass,Motion Sensor,Sara,September
Equipment_1,Order_1_31,Packaging,15,16.88,Pass,Motion Sensor,Victoria,September
Equipment_1,Order_1_31,Preparation,11,11.61,Fail,Motion Sensor,Jeremy,September
Equipment_1,Order_1_31,Final Acceptance Test,30,38.37,Pass,Motion Sensor,Lori,September
Equipment_1,Order_1_31,Electrical Test,14,17.98,Pass,Motion Sensor,Gina,September
Equipment_1,Order_1_31,Lacquering,17,18.54,Fail,Motion Sensor,Colin,September
Equipment_1,Order_1_32,Component Placement,15,13.67,Pass,Motion Sensor,Robert,October
Equipment_1,Order_1_32,Functional Test,15,14.12,Pass,Motion Sensor,Kelly,October
Equipment_1,Order_1_32,Calibration,30,29.57,Pass,Motion Sensor,Donna,October
Equipment_1,Order_1_32,Lacquering,17,21.49,Pass,Motion Sensor,Cole,October
Equipment_1,Order_1_32,Packaging,14,12.76,Pass,Motion Sensor,Rebekah,October
Equipment_1,Order_1_33,Packaging,11,13.95,Pass,Motion Sensor,Shawn,November
Equipment_1,Order_1_33,Calibration,27,32.75,Pass,Motion Sensor,Jesse,November
Equipment_1,Order_1_33,General Soldering,29,28.42,Pass,Motion Sensor,Benjamin,November
Equipment_1,Order_1_33,Functional Test,17,18.75,Pass,Motion Sensor,Jonathan,November
Equipment_1,Order_1_33,Final Acceptance Test,14,17.4,Pass,Motion Sensor,Jessica,November
Equipment_1,Order_1_33,Lacquering,13,14.58,Pass,Motion Sensor,Michael,November
Equipment_1,Order_1_34,Functional Test,22,18.69,Pass,Motion Sensor,Cynthia,December
Equipment_1,Order_1_34,Lacquering,17,21.67,Pass,Motion Sensor,Debra,December
Equipment_1,Order_1_34,Component Placement,11,10.93,Pass,Motion Sensor,Jeffrey,December
Equipment_1,Order_1_34,Packaging,5,4.66,Fail,Motion Sensor,Natalie,December
Equipment_1,Order_1_34,Final Acceptance Test,6,6.19,Pass,Motion Sensor,Stephen,December
Equipment_1,Order_1_34,Electrical Test,12,14.38,Pass,Motion Sensor,Timothy,December
Equipment_1,Order_1_34,General Soldering,29,33.45,Pass,Motion Sensor,Lindsey,December
Equipment_1,Order_1_34,Preparation,26,30.37,Pass,Motion Sensor,Lori,December
Equipment_1,Order_1_34,Calibration,5,5.51,Pass,Motion Sensor,Christopher,December
Equipment_1,Order_1_35,Electrical Test,13,16.84,Pass,Motion Sensor,Johnathan,January
Equipment_1,Order_1_35,Preparation,22,22.34,Pass,Motion Sensor,David,January
Equipment_1,Order_1_35,General Soldering,8,10.09,Fail,Motion Sensor,Megan,January
Equipment_1,Order_1_35,Calibration,27,32.76,Fail,Motion Sensor,Jennifer,January
Equipment_1,Order_1_35,Final Acceptance Test,26,24.2,Pass,Motion Sensor,Kristie,January
Equipment_1,Order_1_35,Lacquering,21,21.94,Pass,Motion Sensor,Gina,January
Equipment_1,Order_1_36,Functional Test,12,11.67,Pass,Motion Sensor,Theresa,February
Equipment_1,Order_1_36,Component Placement,15,13.93,Pass,Motion Sensor,Mary,February
Equipment_1,Order_1_36,Final Acceptance Test,27,28.68,Pass,Motion Sensor,Juan,February
Equipment_1,Order_1_36,Calibration,7,8.2,Pass,Motion Sensor,James,February
Equipment_1,Order_1_36,General Soldering,7,8.27,Pass,Motion Sensor,Kenneth,February
Equipment_1,Order_1_37,General Soldering,26,28.46,Pass,Motion Sensor,Michele,March
Equipment_1,Order_1_37,Electrical Test,15,16.14,Pass,Motion Sensor,Samantha,March
Equipment_1,Order_1_37,Functional Test,6,6.35,Pass,Motion Sensor,Jacqueline,March
Equipment_1,Order_1_37,Component Placement,21,24.68,Pass,Motion Sensor,Jason,March
Equipment_1,Order_1_37,Preparation,18,19.96,Pass,Motion Sensor,Chloe,March
Equipment_1,Order_1_37,Lacquering,12,10.69,Pass,Motion Sensor,Melissa,March
Equipment_1,Order_1_37,Final Acceptance Test,27,26.65,Pass,Motion Sensor,Hailey,March
Equipment_1,Order_1_37,Packaging,27,30.18,Pass,Motion Sensor,Gregory,March
Equipment_1,Order_1_38,Preparation,15,16.6,Pass,Motion Sensor,Patricia,April
Equipment_1,Order_1_38,Component Placement,6,5.19,Pass,Motion Sensor,William,April
Equipment_1,Order_1_38,Electrical Test,7,8.16,Fail,Motion Sensor,Meagan,April
Equipment_1,Order_1_38,Calibration,10,10.7,Pass,Motion Sensor,Ryan,April
Equipment_1,Order_1_38,Lacquering,28,26.06,Pass,Motion Sensor,Monica,April
Equipment_1,Order_1_38,Functional Test,9,8.01,Pass,Motion Sensor,Joshua,April
Equipment_1,Order_1_38,General Soldering,7,8.85,Pass,Motion Sensor,Kathryn,April
Equipment_1,Order_1_38,Final Acceptance Test,16,17.74,Pass,Motion Sensor,Heather,April
Equipment_1,Order_1_39,Component Placement,30,25.86,Pass,Motion Sensor,Eric,May
Equipment_1,Order_1_39,General Soldering,16,18.41,Pass,Motion Sensor,Alexis,May
Equipment_1,Order_1_39,Packaging,24,28.25,Pass,Motion Sensor,Melissa,May
Equipment_1,Order_1_39,Functional Test,16,19.72,Pass,Motion Sensor,Timothy,May
Equipment_1,Order_1_39,Calibration,5,4.38,Pass,Motion Sensor,Kelly,May
Equipment_1,Order_1_39,Preparation,11,12.93,Pass,Motion Sensor,Richard,May
Equipment_1,Order_1_39,Electrical Test,10,12.97,Pass,Motion Sensor,Jon,May
Equipment_1,Order_1_39,Lacquering,28,26.79,Pass,Motion Sensor,Zachary,May
Equipment_1,Order_1_40,Electrical Test,27,30.33,Pass,Motion Sensor,Jonathan,June
Equipment_1,Order_1_40,Packaging,15,19.44,Pass,Motion Sensor,Tyler,June
Equipment_1,Order_1_40,Final Acceptance Test,12,10.25,Pass,Motion Sensor,Julie,June
Equipment_1,Order_1_40,Functional Test,19,22.61,Pass,Motion Sensor,William,June
Equipment_1,Order_1_40,Lacquering,16,16.08,Pass,Motion Sensor,Lori,June
Equipment_1,Order_1_41,General Soldering,15,18.68,Fail,Motion Sensor,Mary,July
Equipment_1,Order_1_41,Electrical Test,19,17.51,Pass,Motion Sensor,Robert,July
Equipment_1,Order_1_41,Final Acceptance Test,24,22.22,Pass,Motion Sensor,Michael,July
Equipment_1,Order_1_41,Functional Test,30,34.18,Pass,Motion Sensor,Brandy,July
Equipment_1,Order_1_41,Packaging,15,14.14,Pass,Motion Sensor,Carol,July
Equipment_1,Order_1_41,Preparation,21,26.46,Pass,Motion Sensor,Martin,July
Equipment_1,Order_1_41,Lacquering,29,32.72,Pass,Motion Sensor,Joseph,July
Equipment_1,Order_1_42,General Soldering,20,21.72,Pass,Motion Sensor,Dustin,August
Equipment_1,Order_1_42,Lacquering,6,6.76,Pass,Motion Sensor,Justin,August
Equipment_1,Order_1_42,Functional Test,6,5.29,Pass,Motion Sensor,Elizabeth,August
Equipment_1,Order_1_42,Preparation,13,10.95,Pass,Motion Sensor,Elizabeth,August
Equipment_1,Order_1_42,Packaging,27,25.76,Pass,Motion Sensor,Paula,August
Equipment_1,Order_1_42,Component Placement,7,6.23,Pass,Motion Sensor,Susan,August
Equipment_1,Order_1_42,Final Acceptance Test,29,34.23,Pass,Motion Sensor,Kelsey,August
Equipment_1,Order_1_43,General Soldering,8,8.5,Fail,Motion Sensor,Kenneth,September
Equipment_1,Order_1_43,Preparation,19,21.79,Pass,Motion Sensor,Jill,September
Equipment_1,Order_1_43,Lacquering,19,16.11,Fail,Motion Sensor,Michael,September
Equipment_1,Order_1_43,Functional Test,30,32.56,Pass,Motion Sensor,Deborah,September
Equipment_1,Order_1_43,Electrical Test,25,23.66,Pass,Motion Sensor,Thomas,September
Equipment_1,Order_1_43,Component Placement,22,21.41,Pass,Motion Sensor,James,September
Equipment_1,Order_1_43,Packaging,12,15.24,Pass,Motion Sensor,Steven,September
Equipment_1,Order_1_43,Final Acceptance Test,15,17.61,Fail,Motion Sensor,David,September
Equipment_1,Order_1_44,Lacquering,20,21.59,Pass,Motion Sensor,Michelle,October
Equipment_1,Order_1_44,Packaging,12,9.81,Pass,Motion Sensor,Stephanie,October
Equipment_1,Order_1_44,Functional Test,25,25.78,Pass,Motion Sensor,Jennifer,October
Equipment_1,Order_1_44,Component Placement,18,19.61,Pass,Motion Sensor,Rebecca,October
Equipment_1,Order_1_44,Electrical Test,26,23.6,Pass,Motion Sensor,Jeremy,October
Equipment_1,Order_1_45,Electrical Test,26,23.86,Pass,Motion Sensor,Christopher,November
Equipment_1,Order_1_45,Calibration,19,20.8,Pass,Motion Sensor,John,November
Equipment_1,Order_1_45,General Soldering,25,20.36,Pass,Motion Sensor,Scott,November
Equipment_1,Order_1_45,Lacquering,27,23.74,Pass,Motion Sensor,Vicki,November
Equipment_1,Order_1_45,Packaging,20,22.75,Pass,Motion Sensor,Alison,November
